Index,Micros,BMP,Temperature (°C),Pressure (hPa),Altitude (m),,,,,,
Index,Micros,GPS,Latitude,Longitude,Altitude,Speed,Satellites,,,,
Index,Micros,BNO,Yaw,Pitch,Roll,MagX,MagY,MagZ,AccX,AccY,AccZ
,,,,,,,,,,,
329,84189732,BNO,-92.51,-11.36,-9.66,-17.94,-42.38,-108.38,0.21,0.09,0.04
330,84245862,BMP390,21.7,1007.46,-0.25,,,,,,
331,84306830,BNO,-92.68,-11.5,-10.32,-17.94,-42.38,-108.38,0.21,0.09,0.04
332,84366921,GPS,0,0,0,0,0,0,,,
333,84400303,BMP390,21.69,1007.46,-0.21,,,,,,
334,84459589,BNO,-92.7,-11.61,-10.19,-17.94,-42.38,-108.38,0.21,0.09,0.04
335,84516311,BMP390,21.69,1007.46,-0.19,,,,,,
336,84575635,BNO,-92.7,-11.61,-10.19,-17.94,-42.38,-108.38,-0.01,-0.07,-0.04
337,84635913,GPS,0,0,0,0,0,0,,,
338,84669693,BMP390,21.69,1007.46,-0.22,,,,,,
339,84728995,BNO,-92.48,-11.24,-10.07,-17.94,-42.38,-108.38,-0.01,-0.07,-0.04
340,84785752,BMP390,21.68,1007.46,-0.25,,,,,,
341,84845061,BNO,-92.48,-11.24,-10.07,-17.25,-40.63,-107.13,-0.01,-0.07,-0.04
342,84904628,GPS,0,0,0,0,0,0,,,
343,84938442,BMP390,21.68,1007.47,-0.28,,,,,,
